#<n>, T, C1, C2, C3
0.05 0.05 0.98 0.00 0.00
0.05 0.10 0.93 0.00 0.00
0.05 0.15 0.87 0.00 0.00
0.05 0.20 0.82 0.00 0.00
0.05 0.25 0.77 0.00 0.00
0.05 0.30 0.72 0.00 0.00
0.05 0.35 0.67 0.00 0.00
0.05 0.40 0.61 0.00 0.00
0.05 0.45 0.56 0.00 0.00
0.05 0.50 0.51 0.00 0.00
0.05 0.55 0.46 0.00 0.00
0.05 0.60 0.41 0.00 0.00
0.05 0.65 0.36 0.00 0.00
0.05 0.70 0.31 0.00 0.00
0.05 0.75 0.26 0.00 0.00
0.05 0.80 0.21 0.00 0.00
0.05 0.85 0.16 0.00 0.00
0.05 0.90 0.11 0.00 0.00
0.05 0.95 0.05 0.00 0.00
0.05 1.00 0.00 0.00 0.00
0.10 0.05 1.00 0.04 0.00
0.10 0.10 0.95 0.00 0.00
0.10 0.15 0.89 0.00 0.00
0.10 0.20 0.84 0.00 0.00
0.10 0.25 0.78 0.00 0.00
0.10 0.30 0.73 0.00 0.00
0.10 0.35 0.68 0.00 0.00
0.10 0.40 0.62 0.00 0.00
0.10 0.45 0.57 0.00 0.00
0.10 0.50 0.52 0.00 0.00
0.10 0.55 0.47 0.00 0.00
0.10 0.60 0.41 0.00 0.00
0.10 0.65 0.36 0.00 0.00
0.10 0.70 0.31 0.00 0.00
0.10 0.75 0.26 0.00 0.00
0.10 0.80 0.21 0.00 0.00
0.10 0.85 0.16 0.00 0.00
0.10 0.90 0.11 0.00 0.00
0.10 0.95 0.05 0.00 0.00
0.10 1.00 0.00 0.00 0.00
0.15 0.05 1.00 0.35 0.00
0.15 0.10 0.97 0.00 0.00
0.15 0.15 0.91 0.00 0.00
0.15 0.20 0.85 0.00 0.00
0.15 0.25 0.80 0.00 0.00
0.15 0.30 0.74 0.00 0.00
0.15 0.35 0.69 0.00 0.00
0.15 0.40 0.63 0.00 0.00
0.15 0.45 0.58 0.00 0.00
0.15 0.50 0.52 0.00 0.00
0.15 0.55 0.47 0.00 0.00
0.15 0.60 0.42 0.00 0.00
0.15 0.65 0.36 0.00 0.00
0.15 0.70 0.31 0.00 0.00
0.15 0.75 0.26 0.00 0.00
0.15 0.80 0.21 0.00 0.00
0.15 0.85 0.16 0.00 0.00
0.15 0.90 0.11 0.00 0.00
0.15 0.95 0.05 0.00 0.00
0.15 1.00 0.00 0.00 0.00
0.20 0.05 1.00 0.52 0.00
0.20 0.10 0.99 0.00 0.00
0.20 0.15 0.93 0.00 0.00
0.20 0.20 0.87 0.00 0.00
0.20 0.25 0.81 0.00 0.00
0.20 0.30 0.76 0.00 0.00
0.20 0.35 0.70 0.00 0.00
0.20 0.40 0.64 0.00 0.00
0.20 0.45 0.59 0.00 0.00
0.20 0.50 0.53 0.00 0.00
0.20 0.55 0.48 0.00 0.00
0.20 0.60 0.42 0.00 0.00
0.20 0.65 0.37 0.00 0.00
0.20 0.70 0.31 0.00 0.00
0.20 0.75 0.26 0.00 0.00
0.20 0.80 0.21 0.00 0.00
0.20 0.85 0.16 0.00 0.00
0.20 0.90 0.11 0.00 0.00
0.20 0.95 0.05 0.00 0.00
0.20 1.00 0.00 0.00 0.00
0.25 0.05 1.00 0.62 0.00
0.25 0.10 1.00 0.12 0.00
0.25 0.15 0.95 0.00 0.00
0.25 0.20 0.89 0.00 0.00
0.25 0.25 0.83 0.00 0.00
0.25 0.30 0.77 0.00 0.00
0.25 0.35 0.71 0.00 0.00
0.25 0.40 0.65 0.00 0.00
0.25 0.45 0.59 0.00 0.00
0.25 0.50 0.54 0.00 0.00
0.25 0.55 0.48 0.00 0.00
0.25 0.60 0.43 0.00 0.00
0.25 0.65 0.37 0.00 0.00
0.25 0.70 0.32 0.00 0.00
0.25 0.75 0.26 0.00 0.00
0.25 0.80 0.21 0.00 0.00
0.25 0.85 0.16 0.00 0.00
0.25 0.90 0.11 0.00 0.00
0.25 0.95 0.05 0.00 0.00
0.25 1.00 0.00 0.00 0.00
0.30 0.05 1.00 0.70 0.00
0.30 0.10 1.00 0.26 0.00
0.30 0.15 0.97 0.00 0.00
0.30 0.20 0.91 0.00 0.00
0.30 0.25 0.85 0.00 0.00
0.30 0.30 0.78 0.00 0.00
0.30 0.35 0.72 0.00 0.00
0.30 0.40 0.66 0.00 0.00
0.30 0.45 0.60 0.00 0.00
0.30 0.50 0.54 0.00 0.00
0.30 0.55 0.49 0.00 0.00
0.30 0.60 0.43 0.00 0.00
0.30 0.65 0.37 0.00 0.00
